Pattern:3765470 Class_WT:1000 //  Sort_WT:7520 --> DIFF_WT:6520
Pattern:3765470 Class_WT:2000 //  Sort_WT:7520 --> DIFF_WT:5520
Pattern:3765471 Class_WT:220 //  Sort_WT:7520 --> DIFF_WT:7300
Pattern:3765471 Class_WT:800 //  Sort_WT:7520 --> DIFF_WT:6720
Pattern:3765471 Class_WT:800 //  Sort_WT:7520 --> DIFF_WT:6720
Pattern:3842337 Class_WT:456 //  Sort_WT:7520 --> DIFF_WT:7064
Pattern:3842338 Class_WT:516 //  Sort_WT:7520 --> DIFF_WT:7004
Pattern:3992155 Class_WT:756 //  Sort_WT:7520 --> DIFF_WT:6764
Pattern:4433299 Class_WT:192 //  Sort_WT:7520 --> DIFF_WT:7328
Pattern:4433300 Class_WT:196 //  Sort_WT:7520 --> DIFF_WT:7324
Pattern:4433341 Class_WT:176 //  Sort_WT:7520 --> DIFF_WT:7344
